"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2949","User login with correct email and password","LMS system","Mon Nov 03 11:11:48 UTC 2025","passed","Mon Nov 03 11:11:50 UTC 2025","Authorization","Authentication","",""
"","2036","User login with wrong email or password","LMS system","Mon Nov 03 11:11:45 UTC 2025","passed","Mon Nov 03 11:11:47 UTC 2025","Authorization","Authentication","",""
"","1650","Registration with correct email, username and password","LMS system","Mon Nov 03 11:11:51 UTC 2025","passed","Mon Nov 03 11:11:52 UTC 2025","Registration","Authentication","",""
"","1585","Navigation from login page to registration page","LMS system","Mon Nov 03 11:11:49 UTC 2025","passed","Mon Nov 03 11:11:51 UTC 2025","Authorization","Authentication","",""
"","1529","Check displaying of empty courses list","LMS system","Mon Nov 03 11:11:53 UTC 2025","passed","Mon Nov 03 11:11:54 UTC 2025","Courses","Courses","",""
"","2966","Edit course","LMS system","Mon Nov 03 11:11:55 UTC 2025","passed","Mon Nov 03 11:11:58 UTC 2025","Courses","Courses","",""
"","1727","Check displaying of dashboard page","LMS system","Mon Nov 03 11:11:57 UTC 2025","passed","Mon Nov 03 11:11:59 UTC 2025","Dashboard","Dashboard","",""
"","2008","User login with wrong email or password","LMS system","Mon Nov 03 11:11:45 UTC 2025","passed","Mon Nov 03 11:11:47 UTC 2025","Authorization","Authentication","",""
"","2301","Create course","LMS system","Mon Nov 03 11:11:54 UTC 2025","passed","Mon Nov 03 11:11:56 UTC 2025","Courses","Courses","",""
"","1565","User login with wrong email or password","LMS system","Mon Nov 03 11:11:48 UTC 2025","passed","Mon Nov 03 11:11:49 UTC 2025","Authorization","Authentication","",""
