2025-10-16 11:26:31,775 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-10-16 11:26:31,775 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2025-10-16 11:26:31,787 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-10-16 11:26:31,787 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 10"
2025-10-16 11:26:31,797 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-10-16 11:26:31,797 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2025-10-16 11:26:31,807 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-10-16 11:26:31,807 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 2 weeks"
2025-10-16 11:26:31,821 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-menu-button" at index "0"
2025-10-16 11:26:31,821 | BASE_ELEMENT | INFO | Clicking button "Menu"
2025-10-16 11:26:31,885 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2025-10-16 11:26:31,885 | BASE_ELEMENT | INFO | Checking that button "Edit" is visible
2025-10-16 11:26:31,894 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-view-edit-menu-item" at index "0"
2025-10-16 11:26:31,894 | BASE_ELEMENT | INFO | Clicking button "Edit"
2025-10-16 11:26:32,176 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-10-16 11:26:32,176 | INPUT | INFO | Fill input "Title" to value "New Playwright"
2025-10-16 11:26:32,209 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-title-input" at index "0"
2025-10-16 11:26:32,209 | INPUT | INFO | Checking that input "Title" has a value "New Playwright"
2025-10-16 11:26:32,218 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-10-16 11:26:32,219 | INPUT | INFO | Fill input "Estimated time" to value "3 weeks"
2025-10-16 11:26:32,246 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-estimated-time-input" at index "0"
2025-10-16 11:26:32,246 | INPUT | INFO | Checking that input "Estimated time" has a value "3 weeks"
2025-10-16 11:26:32,257 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-10-16 11:26:32,257 | TEXTAREA | INFO | Fill textarea "Description" to value "New Playwright"
2025-10-16 11:26:32,284 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2025-10-16 11:26:32,285 | TEXTAREA | INFO | Checking that textarea "Description" has a value "New Playwright"
2025-10-16 11:26:32,297 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-10-16 11:26:32,297 | INPUT | INFO | Fill input "Max score" to value "1000"
2025-10-16 11:26:32,326 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2025-10-16 11:26:32,326 | INPUT | INFO | Checking that input "Max score" has a value "1000"
2025-10-16 11:26:32,335 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-10-16 11:26:32,335 | INPUT | INFO | Fill input "Min score" to value "100"
2025-10-16 11:26:32,362 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2025-10-16 11:26:32,362 | INPUT | INFO | Checking that input "Min score" has a value "100"
2025-10-16 11:26:32,374 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2025-10-16 11:26:32,374 | BASE_ELEMENT | INFO | Clicking button "Create course"
2025-10-16 11:26:32,453 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-10-16 11:26:32,453 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:32,467 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-title-text" at index "0"
2025-10-16 11:26:32,467 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2025-10-16 11:26:32,479 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-list-toolbar-create-course-button" at index "0"
2025-10-16 11:26:32,479 | BASE_ELEMENT | INFO | Checking that button "Create course" is visible
2025-10-16 11:26:32,489 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2025-10-16 11:26:32,489 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2025-10-16 11:26:32,517 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-10-16 11:26:32,517 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-10-16 11:26:32,532 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2025-10-16 11:26:32,532 | BASE_ELEMENT | INFO | Checking that text "Title" has text "New Playwright"
2025-10-16 11:26:32,550 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-10-16 11:26:32,551 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2025-10-16 11:26:32,580 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2025-10-16 11:26:32,580 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 1000"
2025-10-16 11:26:32,597 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-10-16 11:26:32,597 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2025-10-16 11:26:32,608 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2025-10-16 11:26:32,608 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 100"
2025-10-16 11:26:32,615 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-10-16 11:26:32,615 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2025-10-16 11:26:32,624 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2025-10-16 11:26:32,624 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 3 weeks"
